customer_id,name,email,city,signup_date
1,Allison Hill,donaldgarcia@example.net,Mumbai,2026-06-04
2,Leslie Johnson,robinsonwilliam@example.org,Delhi,2025-09-20
3,Matthew Gardner,shaneramirez@example.org,Jaipur,2026-02-21
4,Melissa Peterson,jasongallagher@example.org,Chennai,2024-09-22
5,Ian Cooper,lindsay78@example.org,Chennai,2025-05-02
6,Edward Fuller,barbara10@example.net,Pune,2025-01-05
7,Victoria Wyatt,jamesshawn@example.com,Mumbai,2024-11-15
8,Daniel Adams,lynchgeorge@example.net,Bangalore,2025-01-18
9,James Mayo,gabriellecameron@example.org,Mumbai,2025-01-05
10,Renee Morales,clarksherri@example.net,Ahmedabad,2025-03-13
11,Jonathan Wilkerson,ithomas@example.org,Kolkata,2026-02-10
12,Deborah Richards,icox@example.net,Delhi,2025-07-30
13,Anthony Rodriguez,laurahenderson@example.org,Delhi,2025-05-06
14,Zachary Rice,frazierdanny@example.net,Mumbai,2026-02-15
15,Martin Rodriguez,amoore@example.net,Chennai,2026-05-23
16,Valerie Gill,harrellkenneth@example.net,Chennai,2025-08-10
17,Brittany Farmer,georgetracy@example.org,Bangalore,2025-04-19
18,Sandra Parker,allenashley@example.org,Ahmedabad,2024-09-16
19,Rose Spence,davidalvarez@example.net,Delhi,2024-11-17
20,Shane Henderson,sarahcampos@example.net,Bangalore,2024-12-15
21,Jennifer Powers,samuel87@example.org,Chennai,2025-01-20
22,George Chapman,briannasmith@example.net,Bangalore,2025-11-14
23,Austin Johnson,chad34@example.net,Kolkata,2025-07-24
24,Carlos Walls,esanchez@example.com,Chennai,2024-12-06
25,Matthew Gomez,uowens@example.org,Hyderabad,2025-12-17
26,Maria Brown,lauren13@example.org,Ahmedabad,2024-12-06
27,Brenda White,ewright@example.com,Jaipur,2026-03-31
28,,novaksara@example.org,Delhi,2024-11-18
29,John Hancock,martinaaron@example.com,Pune,2025-02-02
30,Rachel Mitchell,smoore@example.org,Kolkata,2024-08-26
31,Kimberly Adkins,williamsthomas@example.net,Lucknow,2024-11-11
32,Jordan York,larsonemma@example.org,Jaipur,2025-05-21
33,Steve Sanchez,harveyrobert@example.net,Pune,2025-09-24
34,Taylor Harris,john62@example.net,Chennai,2025-11-25
35,Eugene Walton,smithchristine@example.net,Lucknow,2024-09-27
36,Daniel Baker,nicole35@example.com,Mumbai,2024-11-11
37,Joshua Turner,unknown@email.com,Mumbai,2024-09-30
38,Brandy Wilson,newtoneric@example.com,Kolkata,2025-10-24
39,Grant Watts,william40@example.org,Mumbai,2025-11-16
40,Donald Smith,danagreen@example.net,Lucknow,2025-06-20
41,Jessica Smith,landryhannah@example.org,Lucknow,2025-09-08
42,Jacob Tran,tanderson@example.com,Ahmedabad,2026-06-10
43,Valerie Williams,jason31@example.com,Jaipur,2026-03-09
44,Shelly Dickson,sarayoung@example.org,Delhi,2026-03-25
45,Sierra Johnson,kimberly63@example.com,Hyderabad,2024-11-12
46,Ashley Brennan,unknown@email.com,Bangalore,2025-03-06
47,Shelby Walker,raymondramirez@example.org,Mumbai,2026-03-04
48,Martin Ross,sheila14@example.org,Kolkata,2025-10-05
49,Deborah Rodriguez,yreed@example.com,Mumbai,2025-06-15
50,Kayla Cruz,jonathanfletcher@example.org,Bangalore,2025-08-19
